month,sim_UNCERTAINTY,sim_ECONOMY,sim_POLICY,sim_EPU,Spread
2010-01,0.40550014,0.42985436,0.45115644,0.45870078,3.053
2010-02,0.4060507,0.4308808,0.4506115,0.45882052,3.1545
2010-03,0.40373302,0.42997256,0.44862494,0.45803043,3.22375
2010-04,0.40712813,0.42959592,0.45412678,0.4605863,5.009
2010-05,0.40753278,0.43150997,0.45221752,0.46163037,6.1774000000000004
2010-06,0.4073286,0.42702276,0.45592296,0.46123722,7.0465
2010-07,0.4096521,0.43238676,0.45313364,0.46078336,7.73625
2010-08,0.40956756,0.43787047,0.44640976,0.45976418,8.6282
2010-09,0.40917334,0.43197662,0.45365894,0.4603102,8.9095
2010-10,0.40665948,0.43043536,0.45407382,0.46121082,7.7172
2010-11,0.40751693,0.43461773,0.44956076,0.46029326,9.029499999999999
2010-12,0.4070286,0.43038428,0.45152527,0.4583052,9.216750000000001
2011-01,0.40472955,0.42861748,0.45102683,0.4580016,8.472800000000001
2011-02,0.4051568,0.4278704,0.45241523,0.45951334,8.63125
2011-03,0.4054123,0.43077746,0.44822782,0.45802367,9.3875
2011-04,0.40426555,0.42801404,0.44826216,0.45610675,11.065999999999999
2011-05,0.40450507,0.42916036,0.44861612,0.45843402,13.1644
2011-06,0.40874875,0.42752784,0.45860198,0.46339607,13.95275
2011-07,0.40838686,0.43059644,0.45438826,0.46069145,13.282599999999999
2011-08,0.4110719,0.43729928,0.45032203,0.46127993,15.14375
2011-09,0.40997526,0.43178448,0.45769358,0.46307886,19.67625
2011-10,0.4076707,0.4302875,0.45635447,0.46182328,24.0006
2011-11,0.40682638,0.43108967,0.45276263,0.4617083,27.67375
2011-12,0.40821648,0.43103585,0.45463225,0.4610279,31.873749999999998
2012-01,0.40201753,0.42460436,0.45226344,0.45809162,32.3016
2012-02,0.4029784,0.427292,0.45439053,0.46090594,33.704
2012-03,0.39246425,0.41971996,0.44162467,0.4497518,22.659999999999997
2012-04,0.4000035,0.42559347,0.44794717,0.4551773,19.3902
2012-05,0.4056486,0.42790902,0.45327353,0.46124268,26.9035
2012-06,0.40827152,0.4259878,0.46235424,0.46624112,25.491500000000002
2012-07,0.40707424,0.42953214,0.46132684,0.46686712,24.319200000000002
2012-08,0.405915,0.43117166,0.45464045,0.4637212,22.63025
2012-09,0.40965924,0.431475,0.46389493,0.46845573,18.514599999999998
2012-10,0.40709788,0.42983967,0.4618584,0.46676847,15.98325
2012-11,0.40780777,0.4312,0.45961592,0.4664861,15.6545
2012-12,0.40757212,0.4299489,0.46046838,0.46484616,11.2198
2013-01,0.40487748,0.42707258,0.4588867,0.46437195,9.449
2013-02,0.40576485,0.43063107,0.45535678,0.46228966,9.40525
2013-03,0.40707463,0.43011418,0.45812568,0.46419612,10.260200000000001
2013-04,0.41003188,0.43173552,0.46238285,0.46737167,9.813
2013-05,0.40968114,0.43281,0.4588799,0.46634054,7.63525
2013-06,0.41198754,0.42975745,0.46642604,0.4701958,8.9968
2013-07,0.41051513,0.4314596,0.4643729,0.46873882,8.65
2013-08,0.41005793,0.43240863,0.4579413,0.4653771,8.17325
2013-09,0.41031563,0.43037808,0.46364775,0.4681845,8.2744
2013-10,0.4102546,0.43154296,0.46350563,0.46815488,6.912
2013-11,0.41125765,0.4340751,0.46102822,0.46741116,7.0705
2013-12,0.41155702,0.431817,0.464128,0.4681028,6.780799999999999
2014-01,0.41380826,0.43300495,0.46595177,0.47025728,6.5615
2014-02,0.41265282,0.43243924,0.46545154,0.47021073,5.84
2014-03,0.40770167,0.42811245,0.4599854,0.4656445,5.1613999999999995
2014-04,0.4136419,0.43339175,0.46426052,0.4690023,4.70025
2014-05,0.40990946,0.42898554,0.46238238,0.46815735,5.04725
2014-06,0.41231406,0.42875051,0.4662842,0.46971056,4.57
2014-07,0.41349855,0.43269026,0.46438628,0.4688358,4.968
2014-08,0.41423705,0.4351654,0.46240878,0.46974328,4.9816
2014-09,0.41333762,0.4320768,0.46581534,0.4698372,5.003500000000001
2014-10,0.41262445,0.4321112,0.46379334,0.46841702,6.639749999999999
2014-11,0.41147,0.43327537,0.4622206,0.4685168,7.1457999999999995
2014-12,0.4119434,0.43038008,0.46463764,0.46836555,8.28375
2015-01,0.41192257,0.42999423,0.4665109,0.47010824,9.459999999999999
2015-02,0.41166344,0.42895716,0.46839517,0.4714697,9.385
2015-03,0.40427023,0.42412177,0.46131372,0.465906,10.6736
2015-04,0.41062164,0.42848933,0.46689615,0.470408,11.721499999999999
2015-05,0.40874588,0.42779168,0.46409777,0.46896443,10.451600000000001
2015-06,0.40987667,0.42674473,0.46844584,0.4708158,11.6385
2015-07,0.4101175,0.4279815,0.46672937,0.46972045,11.34675
2015-08,0.41101018,0.43332312,0.4617362,0.46858323,9.3946
2015-09,0.41173923,0.4308458,0.46675527,0.47043207,7.883
2015-10,0.41118866,0.43169016,0.4664008,0.4705512,7.2795000000000005
2015-11,0.41295293,0.43313825,0.4657127,0.47143358,7.012479999999999
2015-12,0.41295165,0.43294328,0.46577868,0.46944478,7.7602
2016-01,0.41198683,0.43251562,0.4660607,0.47038057,8.89264
2016-02,0.41125676,0.43121916,0.46564656,0.46965984,10.55825
2016-03,0.4055194,0.42708176,0.45774797,0.4631977,8.617
2016-04,0.40967447,0.43056467,0.46346498,0.4676158,8.72625
2016-05,0.41092739,0.43153626,0.4638225,0.46819487,7.486
2016-06,0.4118154,0.42935383,0.46451256,0.46770996,8.11345
2016-07,0.41542888,0.434037,0.46766615,0.47203657,8.1838
2016-08,0.41489527,0.4342791,0.46453062,0.46918926,8.222000000000001
2016-09,0.412748,0.43274295,0.4665942,0.47098574,8.4555
2016-10,0.41238564,0.43232396,0.46584177,0.46971604,8.1926
2016-11,0.4143576,0.43215406,0.46890822,0.4725799,6.71275
2016-12,0.41018546,0.42974553,0.46476594,0.46807626,6.79575
2017-01,0.41059455,0.42930192,0.46389642,0.46751532,6.736400000000001
2017-02,0.41078073,0.4296257,0.46499926,0.46871895,7.077999999999999
2017-03,0.41162953,0.4306638,0.46473765,0.46876946,6.824
2017-04,0.40716162,0.4258071,0.45865577,0.46359962,6.218
2017-05,0.4107952,0.428634,0.46324503,0.46726558,5.51675
2017-06,0.4113203,0.42883196,0.46367165,0.4670201,5.329
2017-07,0.41368178,0.43170223,0.4665162,0.47008318,4.8552
2017-08,0.41452774,0.43199682,0.46453384,0.46865857,5.179
2017-09,0.41245532,0.4315695,0.46517044,0.46973473,5.138249999999999
2017-10,0.41360095,0.43244424,0.46571025,0.46982896,5.076
2017-11,0.41060436,0.430803,0.46254852,0.4667751,4.9567499999999995
2017-12,0.4104513,0.4301475,0.4642818,0.46778768,3.7024
2018-01,0.41069275,0.42826006,0.4632755,0.4672315,3.133
2018-02,0.4122302,0.42988,0.46621367,0.4702086,3.59725
2018-03,0.41163245,0.42958418,0.46428305,0.46807304,3.711
2018-04,0.4082284,0.42730793,0.459793,0.46472675,3.4976
2018-05,0.412096,0.42992076,0.4644401,0.46866792,3.88025
2018-06,0.41229814,0.42951432,0.4675315,0.4705941,3.95025
2018-07,0.4133427,0.4316946,0.4663196,0.47012272,3.5730000000000004
2018-08,0.4192215,0.4366629,0.46917424,0.47315347,3.961
2018-09,0.41232866,0.43247128,0.46439582,0.4694715,3.7630000000000003
2018-10,0.41599348,0.4338085,0.4676465,0.4719999,3.9312500000000004
2018-11,0.41322568,0.4330597,0.4650935,0.4698779,4.09025
2018-12,0.4137003,0.4319732,0.46619013,0.46958295,4.082
2019-01,0.4126915,0.4303411,0.46719152,0.4707384,3.91875
2019-02,0.4127117,0.43112552,0.46778578,0.47134528,3.7015000000000002
2019-03,0.4132238,0.43233815,0.46551028,0.46981627,3.7076000000000002
2019-04,0.4083799,0.4287497,0.46151477,0.46698108,3.2955
2019-05,0.41214696,0.43033966,0.46617746,0.47005132,3.4170000000000003
2019-06,0.41404435,0.4305649,0.46791556,0.47082585,2.8367999999999998
2019-07,0.41383886,0.4310418,0.4680084,0.47142717,2.5172499999999998
2019-08,0.414362,0.43210033,0.46674883,0.47075075,2.5675
2019-09,0.41173032,0.43129122,0.46524465,0.46972117,2.001
2019-10,0.41439316,0.4323937,0.467811,0.471552,1.6912500000000001
2019-11,0.41424176,0.43289456,0.46663028,0.47057128,1.7782499999999999
2019-12,0.41345844,0.43201756,0.46746,0.47043714,1.7304000000000002
2020-01,0.41562653,0.4319813,0.4686469,0.47185758,1.63925
2020-02,0.41571444,0.43350756,0.4662723,0.47020948,1.537
2020-03,0.41556603,0.4329804,0.46249348,0.46564925,2.396
2020-04,0.4161492,0.43543914,0.46030992,0.46402636,2.573
2020-05,0.41276962,0.432023,0.4584729,0.46241325,2.2176
2020-06,0.4148044,0.43299225,0.463157,0.46689448,1.699
2020-07,0.4159044,0.43434837,0.46408314,0.46839225,1.6360000000000001
2020-08,0.41808513,0.43495837,0.46464634,0.46866697,1.56
2020-09,0.41795757,0.43665487,0.46418434,0.4694038,1.55625
2020-10,0.41794288,0.43518203,0.46595895,0.46968454,1.47
2020-11,0.415464,0.43303585,0.4615923,0.4656831,1.295
2020-12,0.4143874,0.43406475,0.45942613,0.4647403,1.21825
2021-01,0.41513002,0.43226618,0.46316323,0.4667568,1.1708
2021-02,0.41411084,0.4325131,0.45998794,0.46445444,1.25675
2021-03,0.4145012,0.4331255,0.4604756,0.46481904,1.1785
2021-04,0.40990797,0.42994654,0.45568088,0.4610197,1.16775
2021-05,0.41194242,0.43080664,0.4587676,0.4634615,1.115
2021-06,0.41054487,0.4291964,0.4587716,0.46259654,1.0125
2021-07,0.41244635,0.43090686,0.45934477,0.46364805,1.052
2021-08,0.40993696,0.42901808,0.45571873,0.46109518,1.0642
2021-09,0.41429222,0.4341409,0.4614501,0.46634182,1.07675
2021-10,0.41685408,0.4364275,0.46273777,0.46804684,1.214
2021-11,0.41475266,0.43524247,0.45788425,0.46507874,1.56175
2021-12,0.41672736,0.4343672,0.46092212,0.46512175,1.60175
2022-01,0.4162993,0.43298495,0.461575,0.46574482,1.7062000000000002
2022-02,0.41858813,0.4354454,0.46631408,0.47037187,2.3747499999999997
2022-03,0.41919166,0.4369384,0.46568114,0.46945903,2.23225
2022-04,0.41554752,0.4350851,0.46076867,0.46582496,2.15425
2022-05,0.41742867,0.43658394,0.4635993,0.468946,2.5423999999999998
2022-06,0.41838026,0.4357147,0.46474954,0.46846992,2.463
2022-07,0.4190871,0.43739697,0.4634168,0.4685909,2.2304
2022-08,0.41891503,0.4361391,0.4625908,0.4675893,2.4915000000000003
2022-09,0.41824841,0.43785203,0.46371,0.46921027,2.578
2022-10,0.4201138,0.439059,0.4663601,0.4716005,2.5100000000000002
2022-11,0.41736737,0.43596095,0.46372318,0.46880478,2.2065
2022-12,0.41582996,0.43550542,0.46055993,0.46662897,2.09475
2023-01,0.41471532,0.433841,0.46307096,0.4679639,1.9986000000000002
2023-02,0.41576552,0.4352865,0.464739,0.46933398,1.8407499999999999
2023-03,0.41634068,0.43475556,0.46373197,0.46798465,1.938
2023-04,0.4108053,0.43159655,0.45918483,0.4645634,1.8519999999999999
2023-05,0.41070405,0.43016306,0.46128705,0.46591008,1.54475
2023-06,0.41372445,0.43192017,0.46387792,0.46767554,1.294
2023-07,0.41765296,0.43643063,0.46471298,0.46913224,1.3732
2023-08,0.41846806,0.4368911,0.46493387,0.4698918,1.3115
2023-09,0.41529962,0.43446788,0.46291444,0.46788406,1.45775
2023-10,0.41867116,0.43528417,0.4680949,0.471955,1.4431999999999998
2023-11,0.41444424,0.43410286,0.4623457,0.4674357,1.25
2023-12,0.4165909,0.43542963,0.46593475,0.4693511,1.1358000000000001
2024-01,0.41669172,0.4342714,0.46624306,0.47007176,1.0725
2024-02,0.41586247,0.4348392,0.46663448,0.470516,1.01975
2024-03,0.4138379,0.4335737,0.46220404,0.46677238,0.9410000000000001
2024-04,0.41262814,0.43203983,0.4609559,0.46544608,0.9766250000000001
2024-05,0.4156121,0.43382156,0.46598405,0.4702154,1.010875
2024-06,0.41368496,0.43188062,0.46537784,0.46847013,1.1856
2024-07,0.41664648,0.43435714,0.4655633,0.46936676,1.04875
2024-08,0.41833648,0.43508497,0.46325475,0.4676566,1.077
2024-09,0.41666228,0.43610632,0.46384034,0.46841016,0.9965999999999999
2024-10,0.41973674,0.43832347,0.4678926,0.47217155,0.900625
2024-11,0.41643062,0.43510866,0.46498278,0.46929705,0.884625
2024-12,0.41667527,0.4349976,0.46627554,0.46994066,0.8272
2025-01,0.41581732,0.43309233,0.46564817,0.4694806,0.8572500000000001
2025-02,0.412922,0.42946926,0.46506986,0.4682636,0.85275
2025-03,0.4149962,0.43340912,0.46552473,0.4695498,0.8251
2025-04,0.41612324,0.43581325,0.46171373,0.46693128,0.878875
2025-05,0.41637018,0.4350406,0.4660738,0.4704773,0.76275
2025-06,0.41900086,0.43566537,0.46761447,0.47128585,0.7333999999999999
2025-07,0.416434,0.43565276,0.46458322,0.46945146,0.7135
2025-08,0.41813967,0.4353743,0.46665657,0.4712466,0.6768799999999999
2025-09,0.41505292,0.43549284,0.46328875,0.468918,0.684525
2025-10,0.4164257,0.4350744,0.4659995,0.47058973,0.681375
2025-11,0.4174959,0.4373365,0.4635639,0.46889868,0.62988
2025-12,0.418241,0.4369648,0.46647838,0.47106278,0.613675
2026-01,0.41801792,0.43385664,0.46806002,0.4718814,0.5199
2026-02,0.41921082,0.43694782,0.46566975,0.47076797,0.618975
