article,rev_id,timestamp,user,comment,is_minor,is_anon,size,is_revert
Bitcoin,876251709,2019-01-01,Smallbones,/* 2017–2018 */ hasn't happened yet according to source,0,0,172074,0
Bitcoin,876258110,2019-01-01,The brown pill,,0,0,172223,0
Bitcoin,876266230,2019-01-01,Ladislav Mecir,/* 2017–2018 */ mark unsourced claim,0,0,172242,0
Bitcoin,876267414,2019-01-01,AnomieBOT,Dating maintenance tags: {{Citation needed}},1,0,172260,0
Bitcoin,876366975,2019-01-01,Smallbones,ref,0,0,172356,0
Bitcoin,876252307,2019-01-01,Smallbones,"/* 2017–2018 */ to $3,600",0,0,172219,0
Bitcoin,876476992,2019-01-02,GermanJoe,"/* Privacy */ rmv - non-RS, + cn",0,0,172019,0
Bitcoin,876477588,2019-01-02,Ladislav Mecir,"/* 2017–2018 */ remove, the claims are not reliably sourced",0,0,171741,0
Bitcoin,876479860,2019-01-02,Smallbones,/* Privacy */ just remove the promotional and crystal ball stuff,0,0,169722,0
Bitcoin,876515061,2019-01-02,Retimuko,/* 2017–2018 */ year,0,0,169727,0
Bitcoin,876497982,2019-01-02,Jtbobwaysf,/* 2017–2018 */ year,0,0,169727,0
Bitcoin,876702820,2019-01-03,Ladislav Mecir,"/* Legal status, tax and regulation */ replace jargon",0,0,169664,0
Bitcoin,876703243,2019-01-03,Ladislav Mecir,"/* Legal status, tax and regulation */ remove claim; while true, it is out of context, see the subarticle",0,0,169151,0
Bitcoin,876704874,2019-01-03,Smallbones,/* 2017–2018 */ what's the hokey pokey for?,0,0,169443,0
Bitcoin,876707496,2019-01-03,Retimuko,Undid revision 876704874 by [[Special:Contributions/Smallbones|Smallbones]] ([[User talk:Smallbones|talk]]) original research,0,0,169151,1
Bitcoin,876702303,2019-01-03,Ladislav Mecir,"/* Legal status, tax and regulation */ remove a claim using unexplained jargon and not supported by the source",0,0,169641,0
Bitcoin,876712826,2019-01-04,Smallbones,Undid revision 876707496 by [[Special:Contributions/Retimuko|Retimuko]] ([[User talk:Retimuko|talk]]) See talk and [[WP:CALC]],0,0,169443,1
Bitcoin,876832085,2019-01-04,Jtbobwaysf,Undid revision 876712826 by [[Special:Contributions/Smallbones|Smallbones]] ([[User talk:Smallbones|talk]]) talk page discussion ongoing. this is [[WP:TE]],0,0,169151,1
Bitcoin,877260644,2019-01-07,Simonm223,Undid revision 876832085 by [[Special:Contributions/Jtbobwaysf|Jtbobwaysf]] ([[User talk:Jtbobwaysf|talk]]) It takes a special sort of gumption on the part of pro-BTC POV editors to treat coinbase as an unreliable source when it shows their fantasy currency to be unreliable.,0,0,169443,1
Ethereum,877489256,2019-01-08,Nhinchey,"changed ""[[Satoshi Nakamoto|Nakamoto]] consensus"" to ""[[Nakamoto consensus]]""; to a layperson (me) the previous linking felt like if you had ""[[Louis Pasteur|Pasteur]] effect"" instead of ""[[Pasteur effect]]""",0,0,50391,0
Bitcoin,878384422,2019-01-14,Ladislav Mecir,/* Ponzi scheme and pyramid scheme concerns */ Specify dates,0,0,169468,0
Bitcoin,878543199,2019-01-15,Galzigler,/* See also */,0,0,169485,0
Bitcoin,878592883,2019-01-15,Jtbobwaysf,/* See also */ this is not a list of all bitcoin uses,0,0,169468,0
Cryptocurrency,878591609,2019-01-15,Jtbobwaysf,the metaphor is too much,0,0,69451,0
Bitcoin,878973319,2019-01-18,Smasongarrison,"copy edit with [[Wikipedia:AutoWikiBrowser/General_fixes|General fixes]]; url trimming of identifying info per[[WP:LINKSTOAVOID]] and [[Template:Citation_Style_documentation#url|Citation Style]], replaced: ’ → ' (24)",1,0,169364,0
Bitcoin,879058616,2019-01-18,Retimuko,/* 2017–2018 */ replaced original research with data from a reliable secondary source,0,0,169394,0
